Series Name,Country Name,1990,2012,Annex
CO2 emissions (metric tons per capita),Antigua and Barbuda,3.358226856,7.96398509,0
CO2 emissions (metric tons per capita),Argentina,3.06082582,4.277881789,0
CO2 emissions (metric tons per capita),Austria,7.6,7.7,1
CO2 emissions (metric tons per capita),Australia,15.44673046,16.96925656,1
CO2 emissions (metric tons per capita),Barbados,3.755753393,7.789973845,0
CO2 emissions (metric tons per capita),Belarus,9.799449386,6.329103205,0
CO2 emissions (metric tons per capita),Belgium,10.96677472,8.549615681,1
CO2 emissions (metric tons per capita),Bulgaria,8.437435373,6.175840637,0
CO2 emissions (metric tons per capita),Cambodia,0.140380634,0.366700509,0
CO2 emissions (metric tons per capita),Cameroon,0.246178169,0.328597266,1
CO2 emissions (metric tons per capita),Brazil,1.330575227,2.266878111,0
CO2 emissions (metric tons per capita),Bolivia,0.827404692,1.662221709,0
CO2 emissions (metric tons per capita),Chile,2.290838222,4.510826472,0
CO2 emissions (metric tons per capita),China,1.914542564,7.039787622,0
CO2 emissions (metric tons per capita),Costa Rica,0.920038109,1.589162806,0
CO2 emissions (metric tons per capita),Croatia,4.255481261,4.091332795,1
CO2 emissions (metric tons per capita),Cuba,3.341516163,2.562824284,0
CO2 emissions (metric tons per capita),Czech Republic,14.53545339,10.19619372,1
CO2 emissions (metric tons per capita),Denmark,10.13044504,6.833498701,1
CO2 emissions (metric tons per capita),Ecuador,1.52478792,2.367181443,0
CO2 emissions (metric tons per capita),El Salvador,0.451606562,1.085297315,0
CO2 emissions (metric tons per capita),Estonia,22.31747403,12.68621059,1
CO2 emissions (metric tons per capita),Finland,10.94169357,9.126388006,1
CO2 emissions (metric tons per capita),France,6.122359687,5.12231119,1
CO2 emissions (metric tons per capita),"Gambia, The",0.198829002,0.241467281,0
CO2 emissions (metric tons per capita),Georgia,6.974177426,1.928196018,0
CO2 emissions (metric tons per capita),Germany,12.02660923,9.449949925,1
CO2 emissions (metric tons per capita),Greece,7.416057913,7.251237686,1
CO2 emissions (metric tons per capita),Guatemala,0.434248626,0.821948835,0
CO2 emissions (metric tons per capita),Honduras,0.496437957,1.05778565,0
CO2 emissions (metric tons per capita),Hungary,6.498947174,4.377864437,1
CO2 emissions (metric tons per capita),Indonesia,0.815761138,1.959133194,0
CO2 emissions (metric tons per capita),Ireland,8.821920709,8.066036269,1
CO2 emissions (metric tons per capita),Israel,7.253218884,9.61506858,0
CO2 emissions (metric tons per capita),Italy,7.145018163,6.327708948,1
CO2 emissions (metric tons per capita),Jamaica,3.086903142,2.501646653,0
CO2 emissions (metric tons per capita),Japan,8.848215877,9.811406499,1
CO2 emissions (metric tons per capita),Kazakhstan,14.53205285,14.3811759,0
CO2 emissions (metric tons per capita),"Korea, Rep.",5.814186349,11.93150904,0
CO2 emissions (metric tons per capita),Latvia,7.051796913,3.721146978,1
CO2 emissions (metric tons per capita),Liechtenstein,6.946856547,5.189130138,1
CO2 emissions (metric tons per capita),Lithuania,8.713199442,3.992940561,1
CO2 emissions (metric tons per capita),Malawi,0.076559102,0.072746121,0
CO2 emissions (metric tons per capita),Malaysia,3.116502968,6.99321172,0
CO2 emissions (metric tons per capita),Mali,0.049704642,0.19462446,0
CO2 emissions (metric tons per capita),Malta,6.550526583,6.451950822,0
CO2 emissions (metric tons per capita),Marshall Islands,0,2.468613345,0
CO2 emissions (metric tons per capita),Mexico,3.189063644,4.099027581,0
CO2 emissions (metric tons per capita),"Micronesia, Fed. Sts.",0,1.243947716,0
CO2 emissions (metric tons per capita),Mongolia,5.93826675,6.067905312,0
CO2 emissions (metric tons per capita),Netherlands,9.92207476,9.401394047,1
CO2 emissions (metric tons per capita),New Zealand,6.700102108,7.261631996,1
CO2 emissions (metric tons per capita),Nicaragua,0.462448798,0.783949266,0
CO2 emissions (metric tons per capita),Niger,0.074751526,0.106208362,0
CO2 emissions (metric tons per capita),Norway,6.884400773,7.793051929,1
CO2 emissions (metric tons per capita),Panama,1.088651877,2.774068559,0
CO2 emissions (metric tons per capita),Papua New Guinea,0.470119976,0.642117425,0
CO2 emissions (metric tons per capita),Paraguay,0.49012493,0.806663853,0
CO2 emissions (metric tons per capita),Peru,0.934692369,1.639283704,0
CO2 emissions (metric tons per capita),Philippines,0.659825325,0.90584929,0
CO2 emissions (metric tons per capita),Poland,9.189525421,7.969647505,1
